['', 'Yizeng Li', 'Update documentation']
['Aalian Khan', 'Otto Winter', 'Update nextion.h']
['Aalian Khan', 'Otto Winter', 'Update nextion.h']
['Aalian Khan', 'Otto Winter', 'Update nextion.h']
['Aaron Yang', 'Tony Tseng', "Merge branch 'master' into sql-location"]
['Gusted', 'Ibrahim YILMAZ', 'Update README.md']
['Gusted', 'Luis Padron', 'Update README.md']
['Gusted', 'Noam Gal', 'Update README.md']
['Gusted', 'Rahul', 'Update README.md']
['Gusted', 'Maria-Vidart', 'Update README.md']
['Gusted', 'Anthony Graca', 'Update README.md']
['Gusted', 'Gray Olson', 'Update README.md']
['Ibrahim YILMAZ', 'Luis Padron', 'Update README.md']
['Ibrahim YILMAZ', 'Noam Gal', 'Update README.md']
['Ibrahim YILMAZ', 'Rahul', 'Update README.md']
['Ibrahim YILMAZ', 'Maria-Vidart', 'Update README.md']
['Ibrahim YILMAZ', 'Anthony Graca', 'Update README.md']
['Ibrahim YILMAZ', 'Gray Olson', 'Update README.md']
['Luis Padron', 'Noam Gal', 'Update README.md']
['Luis Padron', 'Rahul', 'Update README.md']
['Luis Padron', 'Maria-Vidart', 'Update README.md']
['Luis Padron', 'Anthony Graca', 'Update README.md']
['Luis Padron', 'Gray Olson', 'Update README.md']
['Noam Gal', 'Rahul', 'Update README.md']
['Noam Gal', 'Maria-Vidart', 'Update README.md']
['Noam Gal', 'Anthony Graca', 'Update README.md']
['Noam Gal', 'Gray Olson', 'Update README.md']
['Rahul', 'Maria-Vidart', 'Update README.md']
['Rahul', 'Anthony Graca', 'Update README.md']
['Rahul', 'Gray Olson', 'Update README.md']
['Maria-Vidart', 'Anthony Graca', 'Update README.md']
['Maria-Vidart', 'Gray Olson', 'Update README.md']
['Anthony Graca', 'Gray Olson', 'Update README.md']
['Aaron Enye Shi', 'mvermeulen', "Merge branch 'develop' into enable-miopen-hipclang"]
['Aaron Enye Shi', 'mvermeulen', "Merge branch 'develop' into enable-miopen-hipclang"]
['Aaron Enye Shi', 'mvermeulen', "Merge branch 'develop' into enable-miopen-hipclang"]
['Aaron Enye Shi', 'mvermeulen', "Merge branch 'develop' into enable-miopen-hipclang"]
['mvermeulen', 'Aaron Enye Shi', "Merge branch 'develop' into enable-miopen-hipclang"]
['Aaron Enye Shi', 'mvermeulen', "Merge branch 'develop' into enable-miopen-hipclang"]
['Aaron', 'Ashkan', "Merge branch 'dev' into track-gtm-events"]
['ANUJ GUPTA', 'rishabh gupta', 'Update README.md']
['Bahfir Abbes', 'Laurent Destailleur', 'Update viewcat.php']
['Bahfir Abbes', 'Laurent Destailleur', 'Update viewcat.php']
['Abhishek Parmar', 'Aayushi Shah', "Merge branch 'Sprint15' into Task#453"]
['Abraham', 'Unknown', "Merge branch 'abguimba.thereturn'"]
['Abraham', 'Unknown', "Merge branch 'abguimba.thereturn'"]
['Abrar Pathan', 'Donald Booth', "Merge branch 'master' into patch-80"]
['Abrar Pathan', 'Donald Booth', "Merge branch 'master' into patch-80"]
['Abrar Pathan', 'Donald Booth', "Merge branch 'master' into patch-80"]
['Achille Astolfi', 'Roberto.Patane', 'IllegalArgumentException']
['Roberto.Patane', 'Achille Astolfi', "Merge branch 'master' of https://github.com/Achille-Astolfi/p-2019-12-17.git"]
['Achille Astolfi', 'Roberto.Patane', "Merge branch 'master' of https://github.com/Achille-Astolfi/p-2019-12-17.git"]
['Mike Lewis', 'Daniel Gruesso', 'Apply suggestion to doc/topics/application_development_platform/index.md']
['Mike Lewis', 'Daniel Gruesso', 'Apply suggestion to doc/topics/application_development_platform/index.md']
['Mike Lewis', 'Daniel Gruesso', 'Apply suggestion to doc/topics/application_development_platform/index.md']
['Mike Lewis', 'Daniel Gruesso', 'Apply suggestion to doc/topics/application_development_platform/index.md']
['AchmadSetiaji', 'achensetyawati', "Merge remote-tracking branch 'upstream/migration' into migration"]
['AchmadSetiaji', 'achensetyawati', "Merge remote-tracking branch 'upstream/migration' into migration"]
['AchmadSetiaji', 'achensetyawati', "Merge remote-tracking branch 'upstream/migration' into migration"]
['AchmadSetiaji', 'achensetyawati', "Merge remote-tracking branch 'upstream/migration' into migration"]
['achensetyawati', 'AchmadSetiaji', "Merge remote-tracking branch 'upstream/migration' into migration"]
['achensetyawati', 'AchmadSetiaji', "Merge remote-tracking branch 'upstream/migration' into migration"]
['Adahuys', 'chowderlatte', "Merge branch 'master' of https://github.com/zerocryptor/SIPPKLING-v.3.0"]
['maila', 'Adam', 'checkOutPackage() completed']
['Blair', 'Adam', "Merge branch 'master' of https://github.com/AKGamation/RRA_AR_Android-iOS"]
['Adam', 'Blair', "Merge branch 'master' of https://github.com/AKGamation/RRA_AR_Android-iOS"]
['Adam', 'Blair', "Merge branch 'master' of https://github.com/AKGamation/RRA_AR_Android-iOS"]
['Adam', 'Blair', "Merge branch 'master' of https://github.com/AKGamation/RRA_AR_Android-iOS"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Maria Shaposhnikova', 'Adam Dupaski', "Merge branch 'development'"]
['Maria Shaposhnikova', 'Adam Dupaski', "Merge branch 'development'"]
['Adam Dupaski', 'Maria Shaposhnikova', "Merge branch 'development'"]
['Maria Shaposhnikova', 'Adam Dupaski', "Merge branch 'development'"]
["Jim O'Donnell", 'Adam McMaster', "Merge branch 'master' into staging-deployment"]
['Adam Zsarnoczay', 'fmckenna', "Merge remote-tracking branch 'upstream/master'"]
['Adam Zsarnoczay', 'fmckenna', "Merge remote-tracking branch 'upstream/master'"]
['AdamNaji', 'Unknown', "Merge remote-tracking branch 'origin/Develop' into Adam"]
['Badejo Adesire', 'Nwokike Loveth C', "Merge branch 'android' into android"]
['Badejo Adesire', 'Nwokike Loveth C', "Merge branch 'android' into android"]
['Adib Shakib', 'adibshakib', 'first commit']
['aditijagtap', 'Jinendra Ghodke', "Merge branch 'master' into BugFix/8313_ParameterizedPathIsNotWorkingForDBAction"]
['Aditya Kotalwar', 'Rushank Jhanjaria', 'Add files via upload']
['Aditya Kotalwar', 'alishalakkad', 'Add files via upload']
['Aditya Kotalwar', 'Rushank Jhanjaria', 'Add files via upload']
['Aditya Kotalwar', 'alishalakkad', 'Add files via upload']
['Aditya Kotalwar', 'Rushank Jhanjaria', 'Add files via upload']
['Aditya Kotalwar', 'alishalakkad', 'Add files via upload']
['Aditya Kotalwar', 'Rushank Jhanjaria', 'Add files via upload']
['Aditya Kotalwar', 'alishalakkad', 'Add files via upload']
['Rushank Jhanjaria', 'alishalakkad', 'Add files via upload']
['Noor Binte Amir', 'Filipe de Lima Brito', "Merge branch 'develop' into 2259-nbamir"]
['Noor Binte Amir', 'Filipe de Lima Brito', "Merge branch 'develop' into 2261-nbamir"]
['Ergashev Adizbek', 'Filipe de Lima Brito', "Merge branch 'develop' into bug-fix-2234"]
['Filipe de Lima Brito', 'Ergashev Adizbek', "Merge branch 'develop' into bug-fix-2234"]
['Filipe de Lima Brito', 'Ergashev Adizbek', "Merge branch 'develop' into bug-fix-2234"]
['Admin', 'king', 'classpath 커밋']
['Admin', 'Vitali Shchur', "Merge branch 'master' of https://github.com/Khmelov/AT2019-03-12"]
['Alexey', 'Admin', 'Задание17']
['Vitali Shchur', 'Admin', "Merge branch 'master' of https://github.com/Khmelov/AT2019-03-12"]
['Administrador', 'Henry Recinos', 'se agregó un archivo idex']
['Administrator', 'avboo', "Merge branch 'jsh' of https://github.com/3maestro/EN_genius.git into jsh"]
['Administrator', 'nibudon', "Merge remote-tracking branch 'origin/master'\n\n# Conflicts:\n#\tsrc/main/java/com/snack/utils/Test.java"]
['Adnan Mostafa', 'AdnanMostafa', 'adding starting project']
['Adnan Shehzad', 'YousefAliQ', "Merge branch 'master' of https://github.com/YousefAliQ/mppInstagramProjectRepro"]
['Adrian Jost', 'Tobias W', "Merge branch 'develop' into SC-1750-missing-usernames"]
['Adrian Jost', 'Tobias W', "Merge branch 'develop' into SC-1750-missing-usernames"]
['Adrian Jost', 'Tobias W', "Merge branch 'develop' into SC-1750-missing-usernames"]
['Adrian Jost', 'Tobias W', "Merge branch 'develop' into SC-1750-missing-usernames"]
['Adrian Jost', 'Tobias W', "Merge branch 'develop' into SC-1750-missing-usernames"]
['Nils', 'Adrian Jungnelius', "Merge branch 'master' of https://github.com/NilsNathorst/one-planet"]
['Adrian Miriuta', 'adrianmiriuta', 'cleanup']
['Adrian Miriuta', 'adrianmiriuta', 'cleanup']
['Adrian Miriuta', 'adrianmiriuta', 'cleanup']
['Adrian Miriuta', 'adrianmiriuta', 'cleanup']
['Adrian Miriuta', 'adrianmiriuta', 'cleanup']
['Adrian Miriuta', 'adrianmiriuta', 'cleanup']
['Adrian Miriuta', 'adrianmiriuta', 'cleanup']
['Adrian Miriuta', 'adrianmiriuta', 'cleanup']
['Adrian Miriuta', 'adrianmiriuta', 'cleanup']
['Adrian Miriuta', 'adrianmiriuta', 'cleanup']
['Adrian Miriuta', 'adrianmiriuta', 'cleanup']
['Adrian Miriuta', 'adrianmiriuta', 'cleanup']
['Adrian Miriuta', 'adrianmiriuta', 'cleanup']
['Adrian Miriuta', 'adrianmiriuta', 'cleanup']
['Adrian Miriuta', 'adrianmiriuta', 'cleanup']
['Leonard Richardson', 'Amy Slagle', 'Submodule update.']
['Leonard Richardson', 'Amy Slagle', 'Submodule update.']
['Adrien Boussicault', 'Xavier', 'Update TODO']
['Adrien Boussicault', 'Xavier', 'Update TODO']
['RBurgos1', 'Adriàn Cordero', 'cambios modal']
['Adrián Mora Carrero', 'Ruben Rodriguez', "Merge remote-tracking branch 'upstream/master'"]
['Adrián Mora Carrero', 'Ruben Rodriguez', "Merge remote-tracking branch 'upstream/master'"]
['Adrián Mora Carrero', 'Ruben Rodriguez', "Merge remote-tracking branch 'upstream/master'"]
['Agathe Cazals', 'Sandy Prolhac', "Merge branch 'master' of https://github.com/Towrowrow/project1"]
['Agathe Cazals', 'Sandy Prolhac', "Merge branch 'master' of https://github.com/Towrowrow/project1"]
['Sam Huang', 'Agnes Garcia', "Merge branch 'preferences' of github.com:LuisEscobar320/YEAT into preferences"]
['Sam Huang', 'Agnes Garcia', "Merge branch 'preferences' of github.com:LuisEscobar320/YEAT into preferences"]
['Sam Huang', 'Agnes Garcia', "Merge branch 'preferences' of github.com:LuisEscobar320/YEAT into preferences"]
['Sam Huang', 'Agnes Garcia', "Merge branch 'preferences' of github.com:LuisEscobar320/YEAT into preferences"]
['Sam Huang', 'Agnes Garcia', "Merge branch 'preferences' of github.com:LuisEscobar320/YEAT into preferences"]
['Sam Huang', 'Agnes Garcia', "Merge branch 'preferences' of github.com:LuisEscobar320/YEAT into preferences"]
['Sam Huang', 'Agnes Garcia', "Merge branch 'preferences' of github.com:LuisEscobar320/YEAT into preferences"]
['Sam Huang', 'Agnes Garcia', "Merge branch 'preferences' of github.com:LuisEscobar320/YEAT into preferences"]
['Sam Huang', 'Agnes Garcia', "Merge branch 'preferences' of github.com:LuisEscobar320/YEAT into preferences"]
['Agnes Garcia', 'Sam Huang', "Merge branch 'preferences' of github.com:LuisEscobar320/YEAT into preferences"]
['Sam Huang', 'Agnes Garcia', "Merge branch 'preferences' of github.com:LuisEscobar320/YEAT into preferences"]
['Sam Huang', 'Agnes Garcia', "Merge branch 'preferences' of github.com:LuisEscobar320/YEAT into preferences"]
['Agus', 'Unknown', "Merge remote-tracking branch 'origin/master'"]
['Ahmed I. Abdellatif', 'knanahassouna1', "Merge branch 'admin-page' of github.com:FACG6/social-streets into 160-admin-user-accounts"]
['Ahmed I. Abdellatif', 'knanahassouna1', "Merge branch 'admin-page' of github.com:FACG6/social-streets into 160-admin-user-accounts"]
['Rishith Bhowmick', 'Atharva Raykar', 'Update members-list.md']
['Rishith Bhowmick', 'Atharva Raykar', 'Update members-list.md']
['Rishith Bhowmick', 'Atharva Raykar', 'Update members-list.md']
['Rishith Bhowmick', 'Atharva Raykar', 'Update members-list.md']
['AilmeEs', 'wangkaijie12345', "Merge branch 'master' into master"]
['Shrutika Pimpalkar', 'Cormac McCarthy', "Merge branch 'master' into SQRCmdlets"]
['Shrutika Pimpalkar', 'Cormac McCarthy', "Merge branch 'master' into SQRCmdlets"]
['Akshay Iyyadurai Balasundaram', 'akshayib2', 'Update README.md']
['Akshay Iyyadurai Balasundaram', 'akshayib', 'Update README.md']
['akshayib2', 'akshayib', 'Update README.md']
['Alex Dima', 'Martin Aeschlimann', 'update distro']
['Al Sierra', 'Cyril Tsiboulski', "Merge branch 'master' into staging"]
['Christophe Bahenduzi', 'Christophe', "Merge branch 'master' of https://github.com/mohanadarafe/SOSWedding into chris\n\n# Conflicts:\n#\tapp/src/main/java/com/example/soswedding/ui/Request/RequestFragment.java\n#\tapp/src/main/res/drawable/button_smooth_border.xml\n#\tapp/src/main/res/layout/offer_couple_fragment.xml\n#\tapp/src/main/res/layout/request_fragment.xml\n#\tlocal.properties"]
['Christophe Bahenduzi', 'Christophe', "Merge branch 'master' of https://github.com/mohanadarafe/SOSWedding into chris\n\n# Conflicts:\n#\tapp/src/main/java/com/example/soswedding/ui/Request/RequestFragment.java\n#\tapp/src/main/res/drawable/button_smooth_border.xml\n#\tapp/src/main/res/layout/offer_couple_fragment.xml\n#\tapp/src/main/res/layout/request_fragment.xml\n#\tlocal.properties"]
['nagm', 'Mohit Nag', "Merge branch 'master' into lab8"]
['Alan Orlikoski', '@AlanOrlikoski', 'Adding Docker support']
['Alan Pope', 'GeorgeFilipkin', 'Update snapcraft.yaml']
['João', 'Viruz', '⭐ Brazilian Portuguese metadata translation (made by Viruz)']
['João', 'Viruz', '⭐ Brazilian Portuguese metadata translation (made by Viruz)']
['João', 'Viruz', '⭐ Brazilian Portuguese metadata translation (made by Viruz)']
['João', 'Viruz', '⭐ Brazilian Portuguese metadata translation (made by Viruz)']
['João', 'Viruz', '⭐ Brazilian Portuguese metadata translation (made by Viruz)']
['Adrián Camacho Gil', 'Ale Donoso', "Merge branch 'master' into HFlocal"]
['Adrián Camacho Gil', 'Ale Donoso', "Merge branch 'master' into HFlocal"]
['Adrián Camacho Gil', 'Ale Donoso', "Merge branch 'master' into HFlocal"]
['Alberto del Barrio', 'jdow', "Merge branch 'master' into reflect-nr-saml-configs"]
['hamzajaved', 'Dylan Leard', "Merge branch 'master' into feature/facility-simplified"]
['Dylan Leard', 'hamzajaved', "Merge branch 'master' into feature/facility-simplified"]
['Alejandro', 'Alejandro Calderon Mateos', '2.0.1']
['Alejandro', 'Alejandro Calderon Mateos', '2.0.1']
['Alejandro', 'Alejandro Calderon Mateos', '2.0.5']
['Desislava Dincheva', 'Konstantin Dinev', "Merge branch 'master' into slider-thumb-position-master"]
['Zdravko Kolev', 'Radoslav Karaivanov', "Merge branch 'master' into build-api-docs-master"]
['Zdravko Kolev', 'Radoslav Karaivanov', "Merge branch 'master' into build-api-docs-master"]
['Aleksandar Vacić', 'Aleksandar Vacić', 'Bumped version']
['Aleksander Nowodzinski', 'Marek Lewandowski', "Merge branch 'master' into i/5696"]
['Simon Krajewski', 'Aleksandr Kuzmenko', 'release 4.0.0']
['Simon Krajewski', 'Aleksandr Kuzmenko', 'release 4.0.0']
['Simon Krajewski', 'Aleksandr Kuzmenko', 'release 4.0.0']
['Simon Krajewski', 'Aleksandr Kuzmenko', 'release 4.0.0']
['Alessio Rocco', 'Christian Rimondi', 'Update graphql schema\n\nUsing command "bundle exec rake schema:idl"']
['Alessio Rocco', 'Christian Rimondi', 'Update graphql schema\n\nUsing command "bundle exec rake schema:idl"']
['Alex Puga', 'Sarah Masud', "Merge branch 'master' into add-alex-p"]
['Alex Puga', 'Sarah Masud', "Merge branch 'master' into add-alex-p"]
['huck', 'Nathan Huckleberry', "Merge branch 'master' of https://github.com/Texas-Waitlisters/TopOfTheClass"]
['Alex Bennée', 'Philippe Mathieu-Daudé', 'Re: [PATCH] .travis.yml: reduce scope of the --enable-debug build']
['Alex Chubaty', 'Eliot McIntire', 'with prev']
['Russell, Kent', 'Freehill, Chris', 'RE: [PATCH] drm/amd/powerplay: correct Arcturus OD support']
['Glyph', 'Mark Williams', "Merge branch 'trunk' into patch-2"]
['Glyph', 'Tom Most', "Merge branch 'trunk' into patch-2"]
['Glyph', 'Tom Most', "Merge branch 'trunk' into patch-2"]
['Mark Williams', 'Tom Most', "Merge branch 'trunk' into patch-2"]
['Mark Williams', 'Tom Most', "Merge branch 'trunk' into patch-2"]
['Shaksham Jaiswal', 'root', 'fixes']
['Alex Hunziker', 'Alexander Schmutz', "Merge branch 'master' into feature/620/age-in-weeks"]
['Alex Hunziker', 'Ben Willenbring', "Merge branch 'master' into feature/622/temporal_coupling_scm_parser"]
['Alex Hunziker', 'Ben Willenbring', "Merge branch 'master' into feature/622/temporal_coupling_scm_parser"]
['Alex Hunziker', 'Ben Willenbring', "Merge branch 'master' into feature/622/temporal_coupling_scm_parser"]
['Alex Hunziker', 'Ben Willenbring', "Merge branch 'master' into feature/622/temporal_coupling_scm_parser"]
['Borislav Petkov', 'Dan Williams', 'Re: [PATCH RFC 01/14] x86/asm: add iosubmit_cmds512() based on\n movdir64b CPU instruction']
['Kees Cook', 'Jens Axboe', "Re: [PATCH] block: Replace bio_check_ro()'s WARN_ON()"]
['Jens Axboe', 'Kees Cook', "Re: [PATCH] block: Replace bio_check_ro()'s WARN_ON()"]
['Roman', 'Boris Valit', "Merge branch 'develop' of https://github.com/T4R2S/jekabot into develop"]
['Roman', 'Van', "Merge branch 'develop' of https://github.com/T4R2S/jekabot into develop"]
['Roman', 'Boris Valit', "Merge branch 'develop' of https://github.com/T4R2S/jekabot into develop"]
['Roman', 'Van', "Merge branch 'develop' of https://github.com/T4R2S/jekabot into develop"]
['Roman', 'Boris Valit', "Merge branch 'develop' of https://github.com/T4R2S/jekabot into develop"]
['Boris Valit', 'Van', "Merge branch 'develop' of https://github.com/T4R2S/jekabot into develop"]
['Boris Valit', 'Van', "Merge branch 'develop' of https://github.com/T4R2S/jekabot into develop"]
['Van', 'Boris Valit', "Merge branch 'develop' of https://github.com/T4R2S/jekabot into develop"]
['Van', 'Boris Valit', "Merge branch 'develop' of https://github.com/T4R2S/jekabot into develop"]
